[16:18:26] [main.cpp:80] [INFO]:  Beginning initialization of 'Assignment 3: They said WHAT?!'
[16:18:27] [main.cpp:86] [INFO]:  Window successfully created!
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.299645
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.494654
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.237753
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.624012
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.456738
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 3.033158
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 1.984117
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.392262
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.607398
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.532416
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.665638
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.554822
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.208918
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.412294
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.360124
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.379384
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.451143
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.499414
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.733543
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.280973
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.697796
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.353637
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.579261
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.398475
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.838719
[16:18:28] [render.h:188] [TRACE]: Particles Spawning: 2.194661
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.589517
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.357450
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.480541
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.497756
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.639043
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.461305
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.412303
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.687852
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.482290
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.561514
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.507719
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.328613
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.543912
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.422214
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.528194
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.709666
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.600026
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.412570
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.557706
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.474197
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.858470
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.701905
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.164430
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.289556
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 3.295727
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 1.725191
