[16:17:30] [main.cpp:80] [INFO]:  Beginning initialization of 'Assignment 3: They said WHAT?!'
[16:17:31] [main.cpp:86] [INFO]:  Window successfully created!
[16:17:31] [main.cpp:94] [INFO]:  Loaded OpenGL (GLAD) 4.6
[16:17:31] [main.cpp:122] [INFO]:  Callbacks installed!
[16:17:31] [main.cpp:29] [TRACE]: Window Resized (width: 800, height: 800)!
[16:17:31] [main.cpp:133] [INFO]:  GL setup complete!
[16:17:31] [main.cpp:142] [INFO]:  Resource initialization complete!
[16:17:31] [main.cpp:29] [TRACE]: Window Resized (width: 1916, height: 1037)!
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: -2147483648
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 0
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 0
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 0
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 4
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 0
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:31] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 4
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 5
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:32] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 4
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 4
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 1
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 2
[16:17:33] [render.h:188] [TRACE]: Particles Spawning: 3
